Section_2020,public_dataset,research_dataset,Variable_2020,Labels_2020_old,Question_2020,Labels_2020,Response_Type_2020,Response_Options_2020,Constructed_2020,Var_Description_2020,Var_Description_2020_old,Version_Note,baseline2016,Fall_2017_Spring_2018,Fall_2018_Spring_2019,Fall_2019_Spring_2020
C: Health,Keep,Keep,mindnotwork,Mental Health: Did you skip work or do activities less carefully than usual as a result of your state of mind?,6c. Did you skip work or do activities less carefully than usual as a result of your state of mind?,Mental Health: Did you skip work or do activities less carefully than usual as a result of your state of mind?,radio,"1, Yes | 0, No",0,"This variable provides response to the survey question: ""In the past month, did you skip work or do activities less carefully than usual as a result of your state of mind?"" The response options are: Yes and No.","This variable provides response to the survey question ""In the past month, did you skip work or do activities less carefully than usual as a result of your state of mind?"" The possible response options are: Yes and No.",,351,806,993,796
C: Health,Keep,Keep,daysphysical,Days of Physical Activity,"7a. In a typical week, on how many days do you do vigorous-intensity sports, fitness, or recreational (leisure) activities for at least 10 minutes at a time? (for example, going on a brisk walk, bike ride, or playing a sport.)",Days Physically Active,radio,"1, 0 none | 2, 1 day | 3, 2 days | 4, 3 days | 5, 4 days | 6, 5 days | 7, 6 days | 8, 7 days | 9, Don't know",0,"This variable provides responses to the survey question: ""In a typical week, on how many days do you do vigorous-intensity sports, fitness, or recreational (leisure) activities for at least 10 minutes at a time?"" The response options are: 0 days, 1 day, 2 days, 3 days, 4 days, 5 days, 6 days, 7 days, and Don't Know.","This variable provides response to the survey question ""In a typical week, on how many days do you do vigorous-intensity sports, fitness, or recreational (leisure) activities for at least 10 minutes at a time?"" The possible response options are: 0 days, 1 day, 2 days, 3 days, 4 days, 5 days, 6 days, 7 days, and Don't Know.",,357,828,1014,810
C: Health,Remove,Keep,physicalideal,,7b. What is your ideal way to be physically active or get exercise?,,text,Text,0,,,,311,771,883,727
C: Health,Keep,Keep,physicalplace,Accessibility to Physical Activity,7c. Is there a place for you to do this that is easily accessible from your home?,Accessibility to Physical Activity,radio,"1, Yes | 2, No | 3, Don't Know",0,"This variables provides responses to the survey question: ""Is there a place for you to do [your favorite physical activity] that is easily accessible from your home?"" The response options are: Yes and No.",This variables indicates whether there is a place for a respondent to do their favorite physical activity that is easily accessible from their home. The possible response options are: Yes and No.,,346,806,982,734
C: Health,Keep,Keep,health_insurance,Health Insurance,"8. Do you have health insurance? 
",Health Insurance,yesno,"Yes, No",0,"This variable provides responses to the survey question: ""Do you have health insurance?"" The response options are: Yes and No.","This variable provides responses to the survey question ""Do you have health insurance?"" The possible response options are: Yes and No.",,0,822,1013,809
C: Health,Remove,Keep,sickgo___1,,,,checkbox,"Checked, Unchecked",0,,,,0,0,1040,822
C: Health,Remove,Keep,sickgo___2,,,,checkbox,"Checked, Unchecked",0,,,,0,0,1040,822
C: Health,Remove,Keep,sickgo___3,,,,checkbox,"Checked, Unchecked",0,,,,0,0,0,0
C: Health,Remove,Keep,sickgo___4,,,,checkbox,"Checked, Unchecked",0,,,,0,0,1040,822
C: Health,Remove,Keep,sickgo___5,,,,checkbox,"Checked, Unchecked",0,,,,0,0,1040,822
C: Health,Remove,Keep,sickgo___6,,,,checkbox,"Checked, Unchecked",0,,,,0,0,1040,822
C: Health,Remove,Keep,sickgo___7,,,,checkbox,"Checked, Unchecked",0,,,,0,0,1040,822
C: Health,Keep,Keep,sickgo,Non-Emergency Medical Care Type,"9. Excluding emergencies, where do you normally go when you need medical care? (Check all that apply.)",Non-Emergency Medical Care Facility,checkbox,"1, Doctor's/nurse practitioner's office or private clinic | 2, A community health center or public clinic | 4, A hospital emergency room or urgent care center | 5, An alternative health care provider (such as acupuncturist, chiropractor, traditional healer, or herbalist) | 7, I don't go anywhere | 6, Other",0,"This variable provides responses to the survey question: ""Excluding emergencies, where you normally go when you need medical care?"" The response options are: Doctor's or Nurse Practitioner's Office or Private Clinic, Community Health Center or Public Clinic, A Hospital Emergency Room or Urgent Care Center, An Alternative Health Care Provider, I don't go anywhere, and Other.","This variable provides responses to the survey question ""Excluding emergencies, where you normally go when you need medical care?"". The possible response options are: Doctor's or Nurse Practitioner's Office or Private Clinic; Community Health Center or Public Clinic; A Hospital Emergency Room or Urgent Care Center; An Alternative Health Care Provider; I don't go anywhere; and Other. Respondent's are able to select all response options that apply.",,0,822,1014,800
C: Health,Keep,Keep,health_insurance_type___1,Health insurance: Private,,Health insurance: Private,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked 'Yes:Private' in response to the survey question: ""Do you have health insurance?"" The response options are: Checked and Unchecked.",This variable indicates whether a respondent has private health insurance. The possible response options are: Checked and Unchecked.,,0,0,0,822
C: Health,Keep,Keep,health_insurance_type___2,Health insurance: Medicare,,Health insurance: Medicare,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked 'Yes:Medicare' in response to the survey question: ""Do you have health insurance?"" The response options are: Checked and Unchecked.","This variable indicates whether a respondent selected the answer 'Yes:Medicare' in response to the question ""Do you have health insurance?"" The possible response options are: Checked and Unchecked.",,0,0,0,822
C: Health,Keep,Keep,health_insurance_type___3,Health insurance: MassHealth/Medicaid,,Health insurance: MassHealth/Medicaid,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked 'Yes:MassHealth/Medicaid' in response to the survey question: ""Do you have health insurance?"" The response options are: Checked and Unchecked.","This variable indicates whether a respondent selected the answer 'Yes:MassHealth/Medicaid' in response to the question ""Do you have health insurance?"" The possible response options are: Checked and Unchecked.",,0,0,0,822
C: Health,Keep,Keep,health_insurance_type___4,Health insurance: Other,,Health insurance: Other,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked 'Yes:Other' in response to the survey question: ""Do you have health insurance?"" The response options are: Checked and Unchecked.","This variable indicates whether a respondent selected the answer 'Yes:Other' in response to the question ""Do you have health insurance?"" The possible response options are: Checked and Unchecked.",,0,0,0,822
